Time,Exact,h = 0.5,h = 0.05,h = 0.005,Error_for h = 0.5,Error_for h = 0.05,Error_for h = 0.005
1,-1.5809988486278084,0.9861647269992897,-1.2651165937252244,-1.5482658187234368,162.38%,19.98%,2.07%
2,-1.4788027000286772,5.903675692167748,-0.34326836650680537,-1.3580960250746708,499.22%,76.79%,8.16%
3,2.9143879058058975,14.049215014973765,5.346821915094177,3.1825937369874926,382.06%,83.46%,9.2%
4,6.745803672878749,22.310829013546446,11.848391051582407,7.330925263744097,230.74%,75.64%,8.67%
5,-1.6123743962546553,39.41855502747355,12.24017767222788,0.0018863317899953103,2544.75%,859.14%,100.12%
